1;;0827229534;;Patterns of Preaching;;Book;;396585;;5;;2;;2,,,,,,,
2;;0738700797;;Candlemas;;Book;;168596;;5;;2;;12,,,,,,,
3;;0486287785;;World War II Allied Fighter Planes Trading Cards;;Book;;1270652;;0;;1;;1,,,,,,,
4;;0842328327;;Life Application Bible Commentary;;Book;;631289;;5;;5;;1,,,,,,,
5;;1577943082;;Prayers That Avail Much for Business;;Book;;455160;;5;;2;;0,,,,,,,
6;;0486220125;;How the Other Half Lives;;Book;;188784;;5;;5;;17,,,,,,,
7;;B00000AU3R;;Batik;;Music;;5392;;5;;3;;3,,,,,,,
8;;0231118597;;Losing Matt Shepard;;Book;;277409;;5;;4;;15,,,,,,,
9;;1859677800;;Making Bread;;Book;;949166;;0;;1;;0,,,,,,,
10;;0375709363;;The Edward Said Reader;;Book;;220379;;5;;3;;6,,,,,,,
11;;0871318237;;Resetting the Clock;;Book;;412962;;5;;4;;1,,,,,,,
12;;1590770218;;Fantastic Food with Splenda;;Book;;24741;;5;;9;;12,,,,,,,
13;;0313230269;;Clockwork Worlds;;Book;;2895088;;0;;3;;0,,,,,,,
14;;B00004W1W1;;Later...;;Music;;390624;;0;;2;;0,,,,,,,
15;;1559362022;;Wake Up and Smell the Coffee;;Book;;518927;;5;;3;;8,,,,,,,
16;;0195110382;;War at Sea;;Book;;631564;;5;;3;;10,,,,,,,
17;;0849311012;;Telecommunications Cost Management;;Book;;570183;;4;;7;;3,,,,,,,
18;;B000007R0T;;Sol to Soul;;Music;;109301;;5;;1;;15,,,,,,,
19;;078510870X;;Ultimate Marvel Team-Up;;Book;;612475;;5;;4;;8,,,,,,,
20;;3895780812;;Computed Tomography;;Book;;179448;;5;;3;;1,,,,,,,
21;;0790747324;;The Time Machine;;DVD;;795;;5;;26;;140,,,,,,,
22;;B00005NTSV;;Come What May;;Music;;83369;;5;;5;;4,,,,,,,
23;;0393049388;;Strange Fire;;Book;;1277867;;0;;3;;3,,,,,,,
24;;0553525476;;The Casebook of Sherlock Holmes, Volume 2 (Casebook of Sherlock Holmes);;Book;;1545277;;0;;9;;2,,,,,,
25;;0939165252;;Jailed for Freedom;;Book;;326756;;5;;2;;2,,,,,,,
26;;1590930509;;Chicken Little;;Book;;242571;;5;;3;;1,,,,,,,
27;;0231096704;;The Columbia Anthology of Gay Literature;;Book;;1119683;;5;;3;;2,,,,,,,
28;;1893732290;;God Knows Marriage Isn't Always Easy;;Book;;745886;;3;;2;;0,,,,,,,
29;;0781718791;;Advanced Pediatric Clinical Assessment;;Book;;677416;;5;;5;;0,,,,,,,
30;;0471150274;;Solving Statics Problems with MathCAD;;Book;;227883;;5;;4;;0,,,,,,,
31;;0895872218;;Backroad Buffets & Country Cafes;;Book;;507787;;3;;8;;2,,,,,,,
32;;0761116982;;Staff Meals from Chanterelle;;Book;;150657;;5;;5;;11,,,,,,,
33;;0439240751;;Double Jeopardy (T*Witches, 6);;Book;;97166;;5;;6;;4,,,,,,
34;;B000002O8D;;Southern By the Grace of God;;Music;;89264;;5;;5;;6,,,,,,,
35;;0618111212;;Burnt Toast on Davenport Street;;Book;;317983;;5;;5;;5,,,,,,,
36;;1898630038;;Uists & Barra (Pevensey Island guides);;Book;;1406353;;0;;4;;0,,,,,,,
37;;B000056PNC;;Mark Messier - Leader, Champion & Legend;;DVD;;46018;;5;;4;;7,,,,,,
38;;0787950599;;Resolving Conflicts At Work;;Book;;644042;;5;;7;;3,,,,,,,
39;;0312199406;;Night of Many Dreams;;Book;;57186;;5;;2;;22,,,,,,,
40;;1573221740;;Renovations;;Book;;678019;;0;;3;;8,,,,,,,
41;;0130132543;;Workbook;;Book;;2014896;;0;;3;;0,,,,,,,
42;;B000056PNB;;Pixote;;DVD;;19685;;5;;15;;24,,,,,,,
43;;0486268780;;Selected Poems (Dover Thrift Editions);;Book;;260300;;5;;7;;2,,,,,,,
44;;B000056PNE;;The NBA's 100 Greatest Plays;;DVD;;33124;;5;;5;;13,,,,,,,
45;;1861007418;;Beginning ASP.NET Databases using C#;;Book;;48408;;5;;6;;4,,,,,,,
46;;0826449379;;Alternative Worlds in Fantasy Fiction (Contemporary Classics of Children's Literature);;Book;;1115213;;5;;8;;0,,,,,,,
47;;0590568833;;How to Kill a Monster (Goosebumps);;Book;;654748;;5;;5;;10,,,,,,,
48;;0439420717;;Scooby-doo Mysteries #24 (Scooby-Doo Mysteries);;Book;;529184;;5;;7;;0,,,,,,,
49;;B00004W1WI;;Murder She Wrote;;Music;;68749;;3;;0;;0,,,,,,,
50;;B00004W1WK;;Still Life;;Music;;110723;;5;;1;;1,,,,,,,
51;;0687054532;;Out on the Edge;;Book;;505266;;5;;3;;7,,,,,,,
52;;0875420532;;Secrets of Gypsy Love Magick (Llewellyn's New Age Series);;Book;;409481;;5;;5;;6,,,,,,,
53;;0944708498;;Baby Boomer Retirement;;Book;;566643;;0;;7;;1,,,,,,,
54;;0613100093;;Betsy & Tacy Go over the Big Hill (Betsy and Tacy Books);;Book;;629348;;5;;4;;4,,,,,,,
55;;0486275035;;Goldilocks and the Three Bears;;Book;;1269904;;0;;2;;1,,,,,,,
56;;1550416243;;Three Bricks Shy of a Load;;Book;;2167012;;0;;2;;0,,,,,,,
57;;0398068917;;Investigating Computer Crime;;Book;;1501773;;0;;5;;1,,,,,,,
58;;087842461X;;Raptors of the Rockies;;Book;;1091842;;0;;5;;0,,,,,,,
59;;6303360041;;None But the Lonely Heart;;Video;;13524;;5;;14;;5,,,,,,,
60;;0393971694;;Renaissance Music;;Book;;373682;;5;;4;;2,,,,,,,
61;;1550373080;;Hermanos (Hablemos);;Book;;890775;;0;;3;;0,,,,,,,
62;;0026879077;;Scoring High on the Stanford Achievement Test;;Book;;1157369;;5;;1;;0,,,,,,,
63;;0966723821;;Historia De Cancer De Una Dietista;;Book;;613909;;5;;7;;4,,,,,,,
64;;0689846088;;A Charlie Brown Christmas;;Book;;423424;;5;;3;;6,,,,,,,
65;;0273651870;;Economics for Business;;Book;;963890;;5;;2;;0,,,,,,,
66;;0393037622;;Blood and Guts;;Book;;408761;;5;;4;;4,,,,,,,
67;;1571515429;;Picture Me With My Friend Jesus;;Book;;784192;;0;;4;;1,,,,,,,
68;;0810114275;;Experiencing and the Creation of Meaning;;Book;;421103;;5;;4;;1,,,,,,,
69;;0415925398;;Negotiated Empires;;Book;;454490;;5;;2;;0,,,,,,,
70;;0415223954;;Geographies of Young People;;Book;;973410;;0;;3;;0,,,,,,,
71;;B0000060T5;;Jonny Quest - Bandit in Adventures Best Friend;;Video;;21571;;5;;5;;2,,,,,,,
72;;157281196X;;Power of Flowers;;Book;;348412;;5;;3;;3,,,,,,,
73;;0375803394;;The Perfect Plan (7th Heaven);;Book;;561551;;5;;5;;2,,,,,,,
74;;0113300174;;Service Delivery (It Infrastructure Library Series);;Book;;27507;;5;;8;;2,,,,,,,
75;;0786863919;;Disney A to Z;;Book;;161879;;5;;7;;9,,,,,,,
